Country	region
Aruba	NA
Afghanistan	F
Angola	D
Anguilla	NA
Albania	NA
Aland	NA
Andorra	NA
United Arab Emirates	F
Argentina	D
Armenia	NA
American Samoa	NA
Antarctica	NA
Ashmore and Cartier Is.	NA
Fr. S. Antarctic Lands	NA
Antigua and Barb.	NA
Australia	A
Austria	B
Azerbaijan	F
Burundi	NA
Belgium	B
Benin	H
Burkina Faso	NA
Bangladesh	F
Bulgaria	B
Bahrain	NA
Bahamas	NA
Bosnia and Herz.	NA
St-Barthélemy	NA
Belarus	B
Belize	NA
Bermuda	NA
Bolivia	D
Brazil	D
Barbados	NA
Brunei	NA
Bhutan	NA
Botswana	H
Central African Rep.	NA
Canada	A
Switzerland	B
Chile	D
China	C
Côte d'Ivoire	NA
Cameroon	NA
Dem. Rep. Congo	NA
Congo	H
Cook Is.	NA
Colombia	D
Comoros	NA
Cape Verde	NA
Costa Rica	D
Cuba	NA
Curaçao	NA
Cayman Is.	NA
N. Cyprus	NA
Cyprus	NA
Czech Rep.	NA
Germany	B
Djibouti	NA
Dominica	NA
Denmark	B
Dominican Rep.	NA
Algeria	F
Ecuador	D
Egypt	F
Eritrea	NA
Spain	D
Estonia	B
Ethiopia	H
Finland	B
Fiji	NA
Falkland Is.	NA
France	B
Faeroe Is.	NA
Micronesia	NA
Gabon	NA
United Kingdom	A
Georgia	NA
Guernsey	NA
Ghana	H
Guinea	H
Gambia	NA
Guinea-Bissau	NA
Eq. Guinea	NA
Greece	B
Grenada	NA
Greenland	NA
Guatemala	D
Guam	NA
Guyana	NA
Hong Kong	C
Heard I. and McDonald Is.	NA
Honduras	D
Croatia	B
Haiti	NA
Hungary	B
Indonesia	C
Isle of Man	NA
India	E
Indian Ocean Ter.	NA
Br. Indian Ocean Ter.	NA
Ireland	A
Iran	F
Iraq	F
Iceland	NA
Israel	G
Italy	B
Jamaica	NA
Jersey	NA
Jordan	F
Japan	C
Siachen Glacier	NA
Kazakhstan	F
Kenya	H
Kyrgyzstan	NA
Cambodia	C
Kiribati	NA
St. Kitts and Nevis	NA
Korea	NA
Kosovo	NA
Kuwait	F
Lao PDR	NA
Lebanon	F
Liberia	H
Libya	F
Saint Lucia	NA
Liechtenstein	NA
Sri Lanka	E
Lesotho	NA
Lithuania	B
Luxembourg	NA
Latvia	B
Macao	NA
St-Martin	NA
Morocco	F
Monaco	NA
Moldova	NA
Madagascar	NA
Maldives	NA
Mexico	D
Marshall Is.	NA
Macedonia	NA
Mali	NA
Malta	NA
Myanmar	C
Montenegro	B
Mongolia	NA
N. Mariana Is.	NA
Mozambique	D
Mauritania	NA
Montserrat	NA
Mauritius	NA
Malawi	NA
Malaysia	C
Namibia	H
New Caledonia	NA
Niger	H
Norfolk Island	NA
Nigeria	NA
Nicaragua	D
Niue	NA
Netherlands	B
Norway	B
Nepal	E
Nauru	NA
New Zealand	A
Oman	NA
Pakistan	F
Panama	D
Pitcairn Is.	NA
Peru	D
Philippines	D
Palau	NA
Papua New Guinea	NA
Poland	B
Puerto Rico	NA
Dem. Rep. Korea	NA
Portugal	D
Paraguay	D
Palestine	NA
Fr. Polynesia	NA
Qatar	F
Romania	B
Russia	B
Rwanda	H
W. Sahara	NA
Saudi Arabia	F
Sudan	F
S. Sudan	NA
Senegal	H
Singapore	C
S. Geo. and S. Sandw. Is.	NA
Saint Helena	NA
Solomon Is.	NA
Sierra Leone	H
El Salvador	D
San Marino	NA
Somaliland	NA
Somalia	F
St. Pierre and Miquelon	NA
Serbia	B
São Tomé and Principe	NA
Suriname	NA
Slovakia	B
Slovenia	B
Sweden	B
Swaziland	NA
Sint Maarten	NA
Seychelles	NA
Syria	F
Turks and Caicos Is.	NA
Chad	NA
Togo	H
Thailand	C
Tajikistan	NA
Turkmenistan	NA
Timor-Leste	NA
Tonga	NA
Trinidad and Tobago	NA
Tunisia	F
Turkey	F
Taiwan	C
Tanzania	H
Uganda	H
Ukraine	B
Uruguay	D
United States	A
Uzbekistan	F
Vatican	NA
St. Vin. and Gren.	NA
Venezuela	D
British Virgin Is.	NA
U.S. Virgin Is.	NA
Vietnam	C
Vanuatu	NA
Wallis and Futuna Is.	NA
Samoa	NA
Yemen	NA
South Africa	NA
Zambia	H
Zimbabwe	H
