year	full_name	fore_name	last_name
2002	Stephen Altschul	Stephen	Altschul
2002	Michael Ashburner	Michael	Ashburner
2002	Ford Doolittle	Ford	Doolittle
2002	Terry Gaasterland	Terry	Gaasterland
2002	Barry Honig	Barry	Honig
2002	David Baker	David	Baker
2002	John Reinitz	John	Reinitz
2002	Isidore Rigoutsos	Isidore	Rigoutsos
2003	Sydney Brenner	Sydney	Brenner
2003	David Haussler	David	Haussler
2003	Yoshihide Hayashizaki	Yoshihide	Hayashizaki
2003	W. James Kent	James	Kent
2003	John Mattick	John	Mattick
2003	David Sankoff	David	Sankoff
2003	Ron Shamir	Ron	Shamir
2003	Michael Waterman	Michael	Waterman
2004	Uri Alon	Uri	Alon
2004	Eric Green	Eric	Green
2004	Leroy Hood	Leroy	Hood
2004	David Lipman	David	Lipman
2004	Matthias Mann	Matthias	Mann
2004	Denis Noble	Denis	Noble
2004	Svante Paabo	Svante	Paabo
2004	Anna Tramontano	Anna	Tramontano
2005	Ewan Birney	Ewan	Birney
2005	Janet Thornton	Janet	Thornton
2005	Howard Cash	Howard	Cash
2005	Peter J Hunter	Peter	Hunter
2005	Jill Mesirov	Jill	Mesirov
2005	Satoru Miyano	Satoru	Miyano
2005	Pavel Pevzner	Pavel	Pevzner
2005	Gunnar von Heijne	Gunnar	Heijne
2006	Robert Huber	Robert	Huber
2006	Tom Blundell	Tom	Blundell
2006	Kurt Wuthrich	Kurt	Wuthrich
2006	Mathieu Blanchette	Mathieu	Blanchette
2006	Elana Conti	Elana	Conti
2006	Charles Delisi	Charles	Delisi
2006	Richard Roberts	Richard	Roberts
2006	Michael Waterman	Michael	Waterman
2007	Eran Segal	Eran	Segal
2007	Temple Smith	Temple	Smith
2007	Soren Brunak	Soren	Brunak
2007	Stephen Burley	Stephen	Burley
2007	Michael Eisen	Michael	Eisen
2007	Anne-Claude Gavin	Anne-Claude	Gavin
2007	John Mattick	John	Mattick
2007	Erin O'Shea	Erin	O'Shea
2007	Renee Schroeder	Renee	Schroeder
2007	Terry Speed	Terry	Speed
2008	Aviv Regev	Aviv	Regev
2008	David Haussler	David	Haussler
2008	Claire M. Fraser-Liggett	Claire	Fraser-Liggett
2008	David Jaffe	David	Jaffe
2008	Eugene W Myers	Eugene	Myers
2008	Morag Park	Morag	Park
2008	Bernhard O. Palsson	Bernhard	Palsson
2008	Hanah Margalit	Hanah	Margalit
2009	Trey Ideker	Trey	Ideker
2009	Webb Miller	Webb	Miller
2009	Pierre-Henri Gouyon	Pierre-Henri	Gouyon
2009	Daphne Koller	Daphne	Koller
2009	Thomas Lengauer	Thomas	Lengauer
2009	Eugenia Maria del Pino Veintimilla	Eugenia	Veintimilla
2009	Thomaso Poggio	Thomaso	Poggio
2009	Mathias Uhlen	Mathias	Uhlen
2010	Stephen Brenner	Stephen	Brenner
2010	Susan Lindquist	Susan	Lindquist
2010	Svante Paabo	Svante	Paabo
2010	Chris Sander	Chris	Sander
2010	David Altschuler	David	Altschuler
2010	George Church	George	Church
2010	Robert Weinberg	Robert	Weinberg
2011	Bonnie Berger	Bonnie	Berger
2011	Olga Troyanskaya	Olga	Troyanskaya
2011	Janet Thornton	Janet	Thornton
2011	Alfonso Valencia	Alfonso	Valencia
2011	Luis Serrano	Luis	Serrano
2011	Michael Ashburner	Michael	Ashburner
2012	Richard Lathrop	Richard	Lathrop
2012	Lawrence Hunter	Lawrence	Hunter
2012	Ziv Bar-Joseph	Ziv	Bar-Joseph
2012	Barbara Wold	Barbara	Wold
2012	Richard Durbin	Richard	Durbin
2012	Andrej Sali	Andrej	Sali
2012	Gunnar von Heijne	Gunnar	Heijne
2013	Goncalo Abecasis	Goncalo	Abecasis
2013	Gil Ast	Gil	Ast
2013	David Eisenberg	David	Eisenberg
2013	Carole Goble	Carole	Goble
2013	Lior Pachter	Lior	Pachter
2013	Gary Stormo	Gary	Stormo
2014	Michal Linial	Michal	Linial
2014	Eugene Myers	Eugene	Myers
2014	Zak Kohane	Zak	Kohane
2014	Dana Pe'er	Dana	Pe'er
2014	Robert Langer	Robert	Langer
2014	Russ Altman	Russ	Altman
2015	Michael Levitt	Michael	Levitt
2015	Curtis Huttenhower	Curtis	Huttenhower
2015	Eileen Furlong	Eileen	Furlong
2015	Kenneth Wolfe	Kenneth	Wolfe
2015	Cyrus Chothia	Cyrus	Chothia
2015	Amos Bairoch	Amos	Bairoch
2016	Ruth Nussinov	Ruth	Nussinov
2016	Debora Marks	Debora	Marks
2016	Sandrine Dudoit	Sandrine	Dudoit
2016	Sarah Teichmann	Sarah	Teichmann
2016	Serafim Batzoglou	Serafim	Batzoglou
2016	Soren Brunak	Soren	Brunak
2017	Aviv Regev	Aviv	Regev
2017	James Sharpe	James	Sharpe
2017	Christoph Bock	Christoph	Bock
2017	Zhiping Weng	Zhiping	Weng
2017	Pavel Pevzner	Pavel	Pevzner
2018	Steven Salzberg	Steven	Salzberg
2018	Cole Trapnell	Cole	Trapnell
2018	Martha L. Bulyk	Martha	Bulyk
2018	M. Madan Babu	Madan	Babu
2018	Ruth Nussinov	Ruth	Nussinov
2019	Nikolaus Rajewsky	Nikolaus	Rajewsky
2019	William Noble	William	Noble
2019	Alexis Battle	Alexis	Battle
2019	Christophe Dessimoz	Christophe	Dessimoz
2019	Bonnie Berger	Bonnie	Berger
